symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,exit_reason,gross_pnl,costs,net_pnl,capital_after
NSE:RELIANCE-EQ,short,2023-03-28T10:21:00+05:30,1122.85,2023-03-28T11:18:00+05:30,1125.0957,4,stoploss,-8.9828,53.8688,-62.8516,4574.7727
NSE:ASIANPAINT-EQ,short,2023-03-28T11:15:00+05:30,2773.05,2023-03-28T11:18:00+05:30,2778.5961,1,stoploss,-5.5461,51.3174,-56.8635,4380.6326
NSE:LT-EQ,short,2023-03-28T11:09:00+05:30,2133.2,2023-03-28T11:24:00+05:30,2137.4664,2,stoploss,-8.5328,53.5348,-62.0676,4436.1641
NSE:SUNPHARMA-EQ,short,2023-03-28T10:15:00+05:30,980.0,2023-03-28T11:33:00+05:30,981.96,4,stoploss,-7.84,53.0204,-60.8604,4576.7639
NSE:TCS-EQ,short,2023-03-28T11:30:00+05:30,3131.2,2023-03-28T11:39:00+05:30,3137.4624,1,stoploss,-6.2624,51.8492,-58.1116,4378.0524
NSE:TITAN-EQ,long,2023-03-28T11:42:00+05:30,2505.65,2023-03-28T11:45:00+05:30,2500.6387,1,stoploss,-5.0113,50.913,-55.9243,4322.1282
NSE:SUNPHARMA-EQ,long,2023-03-28T11:57:00+05:30,983.2,2023-03-28T12:06:00+05:30,981.2336,4,stoploss,-7.8656,53.0278,-60.8934,4261.2348
NSE:INFY-EQ,short,2023-03-28T10:18:00+05:30,1386.0,2023-03-28T12:12:00+05:30,1380.456,3,target,16.632,53.3566,-36.7246,4600.8998
NSE:BAJFINANCE-EQ,long,2023-03-28T11:51:00+05:30,560.09,2023-03-28T12:12:00+05:30,558.9698,7,stoploss,-7.8413,53.0097,-60.851,4261.2772
NSE:SUNPHARMA-EQ,long,2023-03-28T12:09:00+05:30,982.6,2023-03-28T12:15:00+05:30,980.6348,4,stoploss,-7.8608,53.0242,-60.885,4200.3498
NSE:TCS-EQ,long,2023-03-28T12:12:00+05:30,3135.7,2023-03-28T12:18:00+05:30,3129.4286,1,stoploss,-6.2714,51.8466,-58.118,4203.1592
NSE:SBIN-EQ,short,2023-03-28T11:09:00+05:30,508.25,2023-03-28T12:27:00+05:30,506.217,8,target,16.264,53.2203,-36.9563,4461.2753
NSE:AXISBANK-EQ,short,2023-03-28T12:27:00+05:30,829.75,2023-03-28T12:57:00+05:30,831.4095,5,stoploss,-8.2975,53.3601,-61.6576,4399.6177
NSE:KOTAKBANK-EQ,short,2023-03-28T11:03:00+05:30,339.46,2023-03-28T13:12:00+05:30,340.1389,13,stoploss,-8.826,53.7524,-62.5784,4410.5326
NSE:BAJFINANCE-EQ,short,2023-03-28T12:21:00+05:30,558.62,2023-03-28T13:21:00+05:30,556.3855,7,target,15.6414,52.9899,-37.3485,4165.8107
NSE:AXISBANK-EQ,long,2023-03-28T13:12:00+05:30,833.0,2023-03-28T13:24:00+05:30,831.334,5,stoploss,-8.33,53.3718,-61.7018,4348.8307
NSE:RELIANCE-EQ,long,2023-03-28T13:27:00+05:30,1125.0,2023-03-28T13:48:00+05:30,1122.75,3,stoploss,-6.75,52.2012,-58.9512,4289.8795
NSE:KOTAKBANK-EQ,short,2023-03-28T13:42:00+05:30,338.68,2023-03-28T14:18:00+05:30,337.3253,12,target,16.2566,53.2176,-36.961,4311.8697
NSE:INFY-EQ,short,2023-03-28T12:24:00+05:30,1383.1,2023-03-28T15:03:00+05:30,1377.5676,3,target,16.5972,53.3437,-36.7465,4166.4127
NSE:WIPRO-EQ,short,2023-03-28T13:57:00+05:30,178.85,2023-03-28T15:03:00+05:30,178.1346,23,target,16.4542,53.2907,-36.8365,4253.043
NSE:TITAN-EQ,long,2023-03-28T11:48:00+05:30,2500.7,2023-03-28T15:15:00+05:30,2500.0,1,time_exit,-0.7,50.909,-51.609,4270.5191
NSE:HDFCBANK-EQ,long,2023-03-28T14:57:00+05:30,789.9,2023-03-28T15:15:00+05:30,789.88,5,time_exit,-0.1,53.0587,-53.1587,4258.711
NSE:ASIANPAINT-EQ,long,2023-03-28T15:03:00+05:30,2785.2,2023-03-28T15:15:00+05:30,2781.85,1,time_exit,-3.35,51.329,-54.679,4198.364
NSE:RELIANCE-EQ,long,2023-03-28T15:24:00+05:30,1124.1,2023-03-28T15:27:00+05:30,1123.78,3,time_exit,-0.96,52.2018,-53.1618,4145.2022
NSE:ICICIBANK-EQ,long,2023-03-29T10:33:00+05:30,859.5,2023-03-29T10:42:00+05:30,857.781,4,stoploss,-6.876,52.2946,-59.1706,4086.0317
NSE:AXISBANK-EQ,long,2023-03-29T10:33:00+05:30,838.1,2023-03-29T10:51:00+05:30,836.4238,4,stoploss,-6.7048,52.1677,-58.8725,4086.3297
NSE:ICICIBANK-EQ,long,2023-03-29T10:51:00+05:30,860.2,2023-03-29T10:54:00+05:30,858.4796,4,stoploss,-6.8816,52.2987,-59.1803,4027.1494
NSE:SBIN-EQ,long,2023-03-29T10:33:00+05:30,510.7,2023-03-29T10:57:00+05:30,509.6786,8,stoploss,-8.1712,53.2542,-61.4254,4083.7768
NSE:LT-EQ,long,2023-03-29T10:45:00+05:30,2154.15,2023-03-29T10:57:00+05:30,2149.8417,1,stoploss,-4.3083,50.3921,-54.7004,4031.3313
NSE:AXISBANK-EQ,long,2023-03-29T10:54:00+05:30,836.25,2023-03-29T10:57:00+05:30,834.5775,4,stoploss,-6.69,52.1567,-58.8467,3968.3027
NSE:HDFCBANK-EQ,long,2023-03-29T10:57:00+05:30,798.45,2023-03-29T11:06:00+05:30,796.8531,5,stoploss,-7.9845,53.1159,-61.1004,3907.2023
NSE:ICICIBANK-EQ,long,2023-03-29T11:00:00+05:30,858.05,2023-03-29T11:06:00+05:30,856.3339,4,stoploss,-6.8644,52.286,-59.1504,3909.1523
NSE:AXISBANK-EQ,long,2023-03-29T11:00:00+05:30,834.95,2023-03-29T11:15:00+05:30,833.2801,4,stoploss,-6.6796,52.149,-58.8286,3909.474
NSE:ASIANPAINT-EQ,short,2023-03-29T11:09:00+05:30,2773.7,2023-03-29T11:36:00+05:30,2762.6052,1,target,11.0948,51.3069,-40.2121,3868.9402
NSE:SBIN-EQ,long,2023-03-29T11:00:00+05:30,509.85,2023-03-29T11:45:00+05:30,508.8303,7,stoploss,-7.1379,52.4886,-59.6265,3908.6762
NSE:INFY-EQ,short,2023-03-29T11:30:00+05:30,1371.55,2023-03-29T11:51:00+05:30,1366.0638,2,target,10.9724,51.2616,-40.2892,3869.1848
NSE:SUNPHARMA-EQ,short,2023-03-29T11:42:00+05:30,988.0,2023-03-29T12:21:00+05:30,984.048,3,target,11.856,51.5887,-39.7327,3829.2076
NSE:SBIN-EQ,short,2023-03-29T12:24:00+05:30,507.75,2023-03-29T12:27:00+05:30,508.7655,7,stoploss,-7.1085,52.4774,-59.5859,3769.6217
NSE:KOTAKBANK-EQ,long,2023-03-29T10:27:00+05:30,341.09,2023-03-29T12:33:00+05:30,340.4078,12,stoploss,-8.1862,53.2653,-61.4514,4083.7508
NSE:ASIANPAINT-EQ,short,2023-03-29T12:03:00+05:30,2764.4,2023-03-29T12:36:00+05:30,2769.9288,1,stoploss,-5.5288,51.3046,-56.8334,3812.3515
NSE:TITAN-EQ,short,2023-03-29T12:12:00+05:30,2504.35,2023-03-29T12:36:00+05:30,2509.3587,1,stoploss,-5.0087,50.9185,-55.9272,3813.2577
NSE:TCS-EQ,short,2023-03-29T11:09:00+05:30,3116.1,2023-03-29T12:45:00+05:30,3122.3322,1,stoploss,-6.2322,51.8268,-58.059,3851.0933
NSE:INFY-EQ,short,2023-03-29T12:15:00+05:30,1367.1,2023-03-29T12:45:00+05:30,1369.8342,2,stoploss,-5.4684,51.2597,-56.7281,3812.4567
